"Package";"Version";"License";"NeedsCompilation";"recDep";"depLen";"OBSpkg";"File";"OBSVersion"
"iTOP";"1.0.2";"GPL-2";"no";"corpcor";1;"R-iTOP";"iTOP_1.0.2.tar.gz";"1.0.2"
"ITRLearn";"1.0-1";"GPL-2";"yes";"Formula kernlab";2;"R-ITRLearn";"ITRLearn_1.0-1.tar.gz";"1.0-1"
"ITRSelect";"1.0-1";"GPL-2";"yes";"Formula Rglpk ncvreg svMisc slam";5;NA;NA;NA
"its.analysis";"1.4.1";"MIT + file LICENCE";"no";"plyr car forecast ggplot2 carData abind pbkrtest quantreg maptools rio lme4 colorspace fracdiff lmtest magrittr Rcpp timeDate tseries urca zoo RcppArmadillo digest glue gtable isoband rlang scales tibble withr testthat minqa nloptr statmod RcppEigen sp SparseM MatrixModels haven curl data.table readxl openxlsx farver labeling lifecycle munsell R6 RColorBrewer viridisLite cli crayon ellipsis fansi pillar pkgconfig vctrs quadprog quantmod assertthat forcats hms readr tidyselect zip stringi utf8 xts TTR cellranger progress evaluate pkgload praise rematch desc pkgbuild rprojroot rstudioapi prettyunits clipr BH purrr callr backports processx ps";86;NA;NA;NA
"itsadug";"2.4";"GPL (>= 2)";"no";"plotfunctions";1;"R-itsadug";"itsadug_2.4.tar.gz";"2.4"
"itsmr";"1.9";"FreeBSD";"no";"";0;"R-itsmr";"itsmr_1.9.tar.gz";"1.9"
"IUPS";"1.0";"GPL-3";"no";"R2jags Matching rjags abind coda R2WinBUGS";6;NA;NA;NA
"iva";"0.1.0";"MIT + file LICENSE";"no";"ucminf Formula";2;"R-iva";"iva_0.1.0.tar.gz";"0.1.0"
"ivdesc";"1.0.0";"GPL-3";"no";"knitr purrr rsample evaluate highr markdown stringr yaml xfun magrittr rlang dplyr tibble generics tidyselect furrr tidyr vctrs ellipsis glue lifecycle R6 future globals mime stringi cli crayon fansi pillar pkgconfig Rcpp digest assertthat listenv utf8";36;NA;NA;NA
"ivfixed";"1.0";"Artistic-2.0";"no";"Formula";1;"R-ivfixed";"ivfixed_1.0.tar.gz";"1.0"
"ivmodel";"1.8.1";"GPL-2 | file LICENSE";"no";"Formula reshape2 ggplot2 digest glue gtable isoband rlang scales tibble withr plyr Rcpp stringr testthat farver labeling lifecycle munsell R6 RColorBrewer viridisLite magrittr stringi cli crayon ellipsis fansi pillar pkgconfig vctrs assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";46;NA;NA;NA
"ivmte";"1.2.0";"GPL-2 | GPL-3";"no";"Formula";1;"R-ivmte";"ivmte_1.2.0.tar.gz";"1.2.0"
"ivpack";"1.2";"GPL-2";"no";"AER sandwich lmtest car zoo Formula carData abind pbkrtest quantreg maptools rio lme4 minqa nloptr statmod Rcpp RcppEigen sp magrittr SparseM MatrixModels haven curl data.table readxl openxlsx tibble forcats hms readr rlang tidyselect vctrs zip stringi cellranger progress cli crayon ellipsis fansi lifecycle pillar pkgconfig rematch assertthat glue utf8 prettyunits R6 clipr BH purrr digest";55;NA;NA;NA
"ivpanel";"1.0";"GPL-3";"no";"Formula";1;"R-ivpanel";"ivpanel_1.0.tar.gz";"1.0"
"ivprobit";"1.1";"GPL-3";"no";"Formula";1;"R-ivprobit";"ivprobit_1.1.tar.gz";"1.1"
"ivregEX";"1.0";"GPL (>= 2)";"no";"lmtest sandwich AER Formula car zoo carData abind pbkrtest quantreg maptools rio lme4 minqa nloptr statmod Rcpp RcppEigen sp magrittr SparseM MatrixModels haven curl data.table readxl openxlsx tibble forcats hms readr rlang tidyselect vctrs zip stringi cellranger progress cli crayon ellipsis fansi lifecycle pillar pkgconfig rematch assertthat glue utf8 prettyunits R6 clipr BH purrr digest";55;NA;NA;NA
"ivtools";"2.3.0";"LGPL (>= 3)";"yes";"data.table numDeriv nleqslv ahaz Rcpp";5;NA;NA;NA
"ivx";"1.0.0";"GPL-3";"yes";"magrittr Rcpp tibble RcppArmadillo cli crayon ellipsis fansi lifecycle pillar pkgconfig rlang vctrs assertthat glue utf8 digest";17;NA;NA;NA
"iWeigReg";"1.0";"GPL (>= 2)";"no";"trust";1;"R-iWeigReg";"iWeigReg_1.0.tar.gz";"1.0"
"iWISA";"1.0-2";"GPL-2 | GPL-3";"no";"waveslim fda ggplot2 digest glue gtable isoband rlang scales tibble withr Rcpp testthat farver labeling lifecycle munsell R6 RColorBrewer viridisLite cli crayon ellipsis fansi magrittr pillar pkgconfig vctrs assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";43;NA;NA;NA
"iZID";"0.0.1";"MIT + file LICENSE";"no";"extraDistr rootSolve foreach doParallel iterators Rcpp";6;NA;NA;NA
"J4R";"1.0.7";"GPL-3";"no";"";0;"R-J4R";"J4R_1.0.7.tar.gz";"1.0.7"
"jaatha";"3.2.1";"GPL (>= 3)";"no";"assertthat R6";2;"R-jaatha";"jaatha_3.2.1.tar.gz";"3.2.1"
"jabr";"0.1.2";"MIT + file LICENSE";"no";"ckanr dplyr glue httr magrittr pillar purrr rappdirs rlang stringr tibble tidyr DBI jsonlite dbplyr ellipsis generics lifecycle R6 tidyselect vctrs curl mime openssl cli crayon fansi utf8 stringi pkgconfig Rcpp assertthat blob askpass digest sys";36;NA;NA;NA
"jaccard";"0.1.0";"GPL-2";"yes";"Rcpp qvalue dplyr magrittr ellipsis generics glue lifecycle R6 rlang tibble tidyselect vctrs cli crayon fansi pillar pkgconfig purrr digest assertthat utf8";22;NA;NA;NA
"jack";"1.1.1";"GPL-3";"no";"partitions DescTools gmp mvp multicool mvtnorm expm Rcpp rstudioapi BH magrittr mpoly magic polynom sets abind stringr stringi plyr ggplot2 orthopolynom tidyr digest glue gtable isoband rlang scales tibble withr dplyr ellipsis purrr tidyselect vctrs lifecycle generics R6 testthat farver labeling munsell RColorBrewer viridisLite cli crayon fansi pillar pkgconfig assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot callr prettyunits backports processx ps";63;NA;NA;NA
"jackalope";"1.1.0";"MIT + file LICENSE";"yes";"ape R6 Rcpp zlibbioc RcppArmadillo RcppProgress Rhtslib";7;NA;NA;NA
"jackknifeKME";"1.2";"GPL-2";"no";"imputeYn quadprog emplik mvtnorm quantreg SparseM MatrixModels";7;NA;NA;NA
"jackstrap";"0.1.0";"GPL-3";"no";"fBasics Benchmarking dplyr ggplot2 foreach doParallel reshape tidyr scales plyr rlang lpSolveAPI ucminf iterators ellipsis generics glue lifecycle magrittr R6 tibble tidyselect vctrs timeDate timeSeries gss stabledist digest gtable isoband withr Rcpp farver labeling munsell RColorBrewer viridisLite purrr stringi testthat colorspace cli crayon fansi pillar pkgconfig assertthat utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";60;NA;NA;NA
"jackstraw";"1.3";"GPL-2";"no";"corpcor ClusterR qvalue lfa irlba rsvd gtools Rcpp gmp ggplot2 RcppArmadillo digest glue gtable isoband rlang scales tibble withr testthat farver labeling lifecycle munsell R6 RColorBrewer viridisLite cli crayon ellipsis fansi magrittr pillar pkgconfig vctrs assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";50;NA;NA;NA
"JacobiEigen";"0.3-3";"GPL (>= 2)";"yes";"Rcpp";1;"R-JacobiEigen";"JacobiEigen_0.3-3.tar.gz";"0.3-3"
"jacpop";"0.6";"GPL-3";"no";"";0;"R-jacpop";"jacpop_0.6.tar.gz";"0.6"
"JADE";"2.0-3";"GPL (>= 2)";"yes";"clue";1;"R-JADE";"JADE_2.0-3.tar.gz";"2.0-3"
"jaggR";"0.1.1";"GPL (>= 2)";"no";"formatR glue";2;"R-jaggR";"jaggR_0.1.1.tar.gz";"0.1.1"
"jagsUI";"1.5.1";"GPL-3";"no";"rjags coda";2;NA;NA;NA
"JamendoR";"0.1.0";"MIT + file LICENSE";"no";"httr dplyr jsonlite ellipsis generics glue lifecycle magrittr R6 rlang tibble tidyselect vctrs curl mime openssl askpass cli crayon fansi pillar pkgconfig purrr digest sys assertthat utf8";27;NA;NA;NA
"james.analysis";"1.0.1";"MIT + file LICENSE";"no";"rjson naturalsort";2;"R-james.analysis";"james.analysis_1.0.1.tar.gz";"1.0.1"
"janeaustenr";"0.1.5";"MIT + file LICENSE";"no";"";0;"R-janeaustenr";"janeaustenr_0.1.5.tar.gz";"0.1.5"
"janitor";"2.0.1";"MIT + file LICENSE";"no";"dplyr lifecycle lubridate magrittr purrr rlang stringi stringr snakecase tidyselect tidyr ellipsis generics glue R6 tibble vctrs Rcpp cli crayon fansi pillar pkgconfig digest assertthat utf8";26;NA;NA;NA
"jaod";"0.2.0";"MIT + file LICENSE";"no";"jsonlite crul tibble curl R6 urltools httpcode mime cli crayon ellipsis fansi lifecycle magrittr pillar pkgconfig rlang vctrs assertthat glue utf8 Rcpp triebeard digest";24;NA;NA;NA
"jarbes";"1.7.2";"GPL (>= 2)";"no";"rjags R2jags ggplot2 ggExtra gridExtra mcmcplots colourpicker gtable miniUI scales shiny shinyjs R6 digest glue isoband rlang tibble withr coda sfsmisc colorspace denstrip abind R2WinBUGS htmltools htmlwidgets jsonlite Rcpp testthat farver labeling lifecycle munsell RColorBrewer viridisLite httpuv mime xtable sourcetools later promises crayon fastmap cli ellipsis fansi magrittr pillar pkgconfig vctrs assertthat yaml BH utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";67;NA;NA;NA
"JASPAR";"0.0.1";"GPL (>= 2)";"yes";"gtools";1;"R-JASPAR";"JASPAR_0.0.1.tar.gz";"0.0.1"
"JavaGD";"0.6-2";"GPL-2 | GPL-3";"yes";"rJava";1;NA;NA;NA
"Jaya";"0.1.9";"GPL (>= 2)";"no";"GA foreach iterators cli crayon Rcpp RcppArmadillo assertthat glue fansi";10;NA;NA;NA
"JBTools";"0.7.2.9";"GPL-2";"no";"foreach gplots colorspace plotrix iterators gtools gdata caTools bitops";9;NA;NA;NA
"jcext";"0.1.1";"GPL (>= 2)";"no";"stringr RColorBrewer maps rworldmap ggplot2 sp digest glue gtable isoband rlang scales tibble withr maptools fields magrittr stringi spam Rcpp testthat farver labeling lifecycle munsell R6 viridisLite cli crayon ellipsis fansi pillar pkgconfig vctrs assertthat colorspace utf8 dotCall64 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";50;NA;NA;NA
"jcolors";"0.0.4";"GPL-2";"no";"scales ggplot2 digest glue gtable isoband rlang tibble withr farver labeling lifecycle munsell R6 RColorBrewer viridisLite Rcpp testthat colorspace cli crayon ellipsis fansi magrittr pillar pkgconfig vctrs assertthat utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";41;NA;NA;NA
"jcp";"1.0";"GPL-3";"no";"";0;"R-jcp";"jcp_1.0.tar.gz";"1.0"
"Jdmbs";"1.3";"GPL (>= 2)";"no";"igraph png magrittr pkgconfig";4;NA;NA;NA
"jdx";"0.1.4";"GPL (>= 2) | BSD_3_clause + file LICENSE";"no";"rJava";1;NA;NA;NA
"jeek";"1.1.1";"GPL-2";"no";"lpSolve pcaPP igraph magrittr pkgconfig mvtnorm";6;NA;NA;NA
"jetpack";"0.4.3";"MIT + file LICENSE";"no";"packrat remotes crayon desc docopt assertthat R6 rprojroot backports";9;NA;NA;NA
"jetset";"3.4.0";"Artistic-2.0";"no";"org.Hs.eg.db AnnotationDbi";2;NA;NA;NA
"jfa";"0.1.0";"GPL-3";"no";"";0;"R-jfa";"jfa_0.1.0.tar.gz";"0.1.0"
"JFE";"2.1.3";"GPL (>= 2)";"no";"fPortfolio xts BurStFin fAssets fBasics FRAPO iClick quantmod rugarch tcltk2 timeDate timeSeries zoo fMultivar robustbase sn ecodist mvnormtest energy gss stabledist fCopulae Rglpk slam Rsolnp quadprog kernlab rneos cccp sandwich car coefplot forecast lmtest lubridate openair papeR TTR curl nloptr ks numDeriv spd chron SkewHyperbolic expm Rcpp RcppArmadillo carData abind pbkrtest quantreg maptools rio lme4 ggplot2 plyr reshape2 useful dplyr dygraphs tibble magrittr purrr cubature mvtnorm colorspace fracdiff tseries urca FNN mclust multicool generics rlang tidyr readr latticeExtra mapproj hexbin xtable gmodels RCurl XML DEoptimR truncnorm DistributionUtils GeneralizedHyperbolic mnormt ellipsis glue lifecycle R6 tidyselect vctrs htmlwidgets htmltools digest gtable isoband scales withr gdata png jpeg RColorBrewer minqa statmod RcppEigen maps sp tmvnsim SparseM MatrixModels bitops hms clipr crayon BH stringr haven data.table readxl openxlsx cli fansi pillar pkgconfig stringi assertthat gtools forcats jsonlite yaml testthat zip utf8 cellranger progress farver labeling munsell viridisLite rematch prettyunits evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr backports processx ps";156;NA;NA;NA
"JGEE";"1.1";"GPL (>= 2)";"no";"gee";1;"R-JGEE";"JGEE_1.1.tar.gz";"1.1"
"JGL";"2.3.1";"GPL-2";"no";"igraph magrittr pkgconfig";3;NA;NA;NA
"JGR";"1.8-7";"GPL-2";"no";"rJava JavaGD";2;NA;NA;NA
"jiebaR";"0.11";"MIT + file LICENSE";"yes";"jiebaRD Rcpp";2;NA;NA;NA
"jiebaRD";"0.1";"MIT + file LICENSE";"no";"";0;"R-jiebaRD";"jiebaRD_0.1.tar.gz";"0.1"
"jipApprox";"0.1.2";"GPL-3";"no";"sampling lpSolve";2;"R-jipApprox";"jipApprox_0.1.2.tar.gz";"0.1.2"
"jjb";"0.1.1";"GPL (>= 2)";"no";"";0;"R-jjb";"jjb_0.1.1.tar.gz";"0.1.1"
"jlctree";"0.0.1";"GPL";"no";"lme4 minqa nloptr statmod Rcpp RcppEigen";6;NA;NA;NA
"JM";"1.4-8";"GPL (>= 2)";"no";"";0;"R-JM";"JM_1.4-8.tar.gz";"1.4-8"
"JMbayes";"0.8-85";"GPL (>= 2)";"yes";"doParallel rstan foreach Rcpp jagsUI xtable shiny Hmisc RcppArmadillo iterators Formula ggplot2 latticeExtra acepack gtable gridExtra data.table htmlTable viridis htmltools base64enc rjags coda StanHeaders inline loo pkgbuild RcppEigen BH httpuv mime jsonlite digest R6 sourcetools later promises crayon rlang fastmap glue isoband scales tibble withr stringr knitr magrittr checkmate htmlwidgets rstudioapi png jpeg RColorBrewer matrixStats callr cli desc prettyunits rprojroot RcppParallel viridisLite processx backports assertthat fansi yaml testthat evaluate highr markdown xfun farver labeling lifecycle munsell stringi ellipsis pillar pkgconfig vctrs colorspace utf8 ps pkgload praise";86;NA;NA;NA
"jmcm";"0.2.1";"GPL (>= 2)";"yes";"Formula Rcpp RcppArmadillo roptim";4;NA;NA;NA
"jmdem";"1.0.1";"GPL-2";"no";"VGAM statmod";2;"R-jmdem";"jmdem_1.0.1.tar.gz";"1.0.1"
"JMdesign";"1.1";"GPL-2";"no";"";0;"R-JMdesign";"JMdesign_1.1.tar.gz";"1.1"
"jmdl";"0.3.0";"GPL (>= 2)";"yes";"Formula minqa mnormt mvtnorm Rcpp tmvnsim";6;"R-jmdl";"jmdl_0.3.0.tar.gz";"0.3.0"
"jmetrik";"1.1";"GPL (>= 3)";"no";"";0;"R-jmetrik";"jmetrik_1.1.tar.gz";"1.1"
"JMI";"0.1.0";"GPL (>= 2)";"yes";"Rcpp RcppArmadillo";2;"R-JMI";"JMI_0.1.0.tar.gz";"0.1.0"
"Jmisc";"0.3.1";"GPL (>= 2)";"no";"";0;"R-Jmisc";"Jmisc_0.3.1.tar.gz";"0.3.1"
"jmotif";"1.1.1";"GPL-2";"yes";"Rcpp RcppArmadillo";2;"R-jmotif";"jmotif_1.1.1.tar.gz";"1.1.1"
"jmuOutlier";"2.2";"GPL-3";"no";"";0;"R-jmuOutlier";"jmuOutlier_2.2.tar.gz";"2.2"
"jmv";"1.2.5";"GPL (>= 2)";"no";"jmvcore R6 car multcomp ggplot2 PMCMR emmeans vcd vcdExtra GGally BayesFactor psych GPArotation afex mvnormtest lavaan ggridges ROCR lme4 pbkrtest lmerTest reshape2 coda pbapply mvtnorm stringr gtools MatrixModels Rcpp hypergeo RcppEigen carData abind quantreg maptools rio estimability numDeriv plyr xtable gtable progress RColorBrewer reshape scales rlang lifecycle digest glue isoband tibble withr jsonlite base64enc stringi mnormt pbivnorm TH.data sandwich gplots colorspace lmtest gnm ca qvcalc relimp gdata caTools elliptic contfrac deSolve testthat minqa nloptr statmod zoo sp tmvnsim magrittr hms prettyunits crayon SparseM haven curl data.table readxl openxlsx farver labeling munsell viridisLite cli ellipsis fansi pillar pkgconfig vctrs bitops assertthat forcats readr tidyselect zip utf8 cellranger evaluate pkgload praise rematch desc pkgbuild rprojroot rstudioapi clipr BH purrr callr backports processx ps";121;NA;NA;NA
"jmvconnect";"1.2.18";"GPL (>= 2)";"yes";"jmvcore evaluate rappdirs httr Rcpp BH curl jsonlite mime openssl R6 rlang base64enc stringi askpass sys";16;NA;NA;NA
"jmvcore";"1.2.23";"GPL (>= 2)";"no";"R6 rlang jsonlite base64enc stringi";5;"R-jmvcore";"jmvcore_1.2.5.tar.gz";"1.2.5"
"jocre";"0.3.3";"GPL-2";"no";"plyr TSP Rcpp foreach iterators";5;NA;NA;NA
"JoF";"0.1.0";"GPL-3";"no";"";0;"R-JoF";"JoF_0.1.0.tar.gz";"0.1.0"
"Johnson";"1.4";"GPL (>= 2)";"no";"";0;"R-Johnson";"Johnson_1.4.tar.gz";"1.4"
"joineR";"1.2.5";"GPL-3 | file LICENSE";"no";"statmod";1;"R-joineR";"joineR_1.2.5.tar.gz";"1.2.5"
"joineRmeta";"0.1.2";"GPL-3 | file LICENSE";"no";"lme4 JM ggplot2 gridExtra gtools joineR meta msm statmod digest glue gtable isoband rlang scales tibble withr minqa nloptr Rcpp RcppEigen metafor CompQuadForm mvtnorm expm testthat farver labeling lifecycle munsell R6 RColorBrewer viridisLite cli crayon ellipsis fansi magrittr pillar pkgconfig vctrs assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";56;NA;NA;NA
"joineRML";"0.4.4";"GPL-3 | file LICENSE";"yes";"cobs doParallel foreach generics ggplot2 lme4 mvtnorm randtoolbox Rcpp tibble RcppArmadillo SparseM quantreg iterators digest glue gtable isoband rlang scales withr minqa nloptr statmod RcppEigen rngWELL cli crayon ellipsis fansi lifecycle magrittr pillar pkgconfig vctrs assertthat testthat utf8 MatrixModels farver labeling munsell R6 RColorBrewer viridisLite colorspace evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";58;NA;NA;NA
"joinet";"0.0.3";"GPL-3";"no";"glmnet palasso cornet foreach shape iterators";6;NA;NA;NA
"joint.Cox";"3.8";"GPL-2";"no";"";0;"R-joint.Cox";"joint.Cox_3.7.tar.gz";"3.7"
"JointAI";"0.6.1";"GPL (>= 2)";"no";"rjags mcmcse coda rlang foreach doParallel iterators ellipse Rcpp RcppArmadillo";10;NA;NA;NA
"jointDiag";"0.3";"GPL (>= 2)";"yes";"";0;"R-jointDiag";"jointDiag_0.3.tar.gz";"0.3"
"jointMeanCov";"0.1.0";"GPL-2";"no";"glasso";1;"R-jointMeanCov";"jointMeanCov_0.1.0.tar.gz";"0.1.0"
"JointModel";"1.0";"GPL-3";"no";"lme4 statmod minqa nloptr Rcpp RcppEigen";6;NA;NA;NA
"JointNets";"2.0.1";"GPL-2";"no";"lpSolve pcaPP igraph JGL brainR misc3d oro.nifti shiny rgl magrittr pkgconfig bitops abind RNifti rticles mvtnorm htmlwidgets htmltools knitr jsonlite crosstalk manipulateWidget httpuv mime xtable digest R6 sourcetools later promises crayon rlang fastmap lazyeval Rcpp yaml BH evaluate highr markdown stringr xfun miniUI base64enc webshot rmarkdown tinytex glue stringi callr processx ps";52;NA;NA;NA
"jointNmix";"1.0";"GPL (>= 2)";"no";"";0;"R-jointNmix";"jointNmix_1.0.tar.gz";"1.0"
"jointPm";"2.3.1";"GPL (>= 2)";"no";"";0;"R-jointPm";"jointPm_2.3.1.tar.gz";"2.3.1"
"jointseg";"1.0.2";"LGPL (>= 2.1)";"yes";"acnr matrixStats DNAcopy";3;NA;NA;NA
"joinXL";"1.0.1";"GPL-3";"no";"readxl openxlsx timeSeries data.table rChoiceDialogs R.utils rJava Rcpp timeDate zip stringi R.oo R.methodsS3 cellranger tibble progress rematch hms prettyunits R6 crayon cli ellipsis fansi lifecycle magrittr pillar pkgconfig rlang vctrs assertthat glue utf8 digest";34;NA;NA;NA
"jomo";"2.7-1";"GPL-2";"yes";"lme4 ordinal minqa nloptr statmod Rcpp RcppEigen ucminf numDeriv";9;NA;NA;NA
"JOP";"3.6";"GPL (>= 2)";"no";"Rsolnp dglm statmod truncnorm";4;"R-JOP";"JOP_3.6.tar.gz";"3.6"
"JoSAE";"0.3.0";"GPL-2";"no";"";0;"R-JoSAE";"JoSAE_0.3.0.tar.gz";"0.3.0"
"josaplay";"0.1.3";"MIT + file LICENSE";"no";"utf8 magrittr";2;"R-josaplay";"josaplay_0.1.3.tar.gz";"0.1.3"
"jose";"1.0";"MIT + file LICENSE";"no";"openssl jsonlite askpass sys";4;NA;NA;NA
"JOUSBoost";"2.1.0";"MIT + file LICENSE";"yes";"Rcpp doParallel foreach iterators";4;NA;NA;NA
"jpeg";"0.1-8.1";"GPL-2 | GPL-3";"yes";"";0;NA;NA;NA
"JPEN";"1.0";"GPL-2";"no";"mvtnorm";1;"R-JPEN";"JPEN_1.0.tar.gz";"1.0"
"jpmesh";"1.2.1";"MIT + file LICENSE";"no";"leaflet miniUI purrr rlang sf shiny tibble units magrittr base64enc crosstalk htmlwidgets htmltools markdown png RColorBrewer raster scales sp viridis leaflet.providers classInt DBI Rcpp httpuv mime jsonlite xtable digest R6 sourcetools later promises crayon fastmap cli ellipsis fansi lifecycle pillar pkgconfig vctrs e1071 assertthat glue lazyeval yaml BH xfun utf8 farver labeling munsell viridisLite ggplot2 gridExtra gtable isoband withr colorspace testthat evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";73;NA;NA;NA
"jpndistrict";"0.3.6";"MIT + file LICENSE";"no";"googlePolylines dplyr jpmesh leaflet magrittr miniUI purrr rlang sf shiny tibble tidyselect tidyr ellipsis generics glue lifecycle R6 vctrs Rcpp BH units base64enc crosstalk htmlwidgets htmltools markdown png RColorBrewer raster scales sp viridis leaflet.providers classInt DBI httpuv mime jsonlite xtable digest sourcetools later promises crayon fastmap cli fansi pillar pkgconfig stringi e1071 assertthat lazyeval yaml xfun utf8 farver labeling munsell viridisLite ggplot2 gridExtra gtable isoband withr colorspace testthat evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";80;NA;NA;NA
"JQL";"3.6.9";"LGPL-3";"no";"caret pdist randomForest ggplot2 foreach plyr ModelMetrics reshape2 recipes withr pROC iterators digest glue gtable isoband rlang scales tibble Rcpp data.table dplyr generics gower ipred lubridate magrittr purrr tidyr tidyselect timeDate stringr ellipsis lifecycle R6 vctrs prodlim testthat farver labeling munsell RColorBrewer viridisLite stringi cli crayon fansi pillar pkgconfig assertthat colorspace utf8 lava evaluate pkgload praise numDeriv SQUAREM desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";67;NA;NA;NA
"jqr";"1.1.0";"MIT + file LICENSE";"yes";"magrittr lazyeval";2;NA;NA;NA
"jquerylib";"0.1.1";"MIT + file LICENSE";"no";"htmltools digest Rcpp rlang";4;"R-jquerylib";"jquerylib_0.1.1.tar.gz";"0.1.1"
"jrc";"0.3.1";"GPL-3";"no";"httpuv jsonlite stringr stringi mime R6 Rcpp promises later BH glue magrittr rlang";13;NA;NA;NA
"JRF";"0.1-4";"GPL (>= 2)";"yes";"";0;"R-JRF";"JRF_0.1-4.tar.gz";"0.1-4"
"jrich";"0.60-35";"GPL-3";"no";"ape Rcpp";2;"R-jrich";"jrich_0.60-35.tar.gz";"0.60-35"
"jrt";"1.0.1";"GPL-3";"no";"directlabels mirt psych irr dplyr tidyr ggplot2 ggsci quadprog ellipsis generics glue lifecycle magrittr R6 rlang tibble tidyselect vctrs digest gtable isoband scales withr lpSolve GPArotation Rcpp vegan Deriv dcurver RcppArmadillo mnormt purrr stringi testthat tmvnsim farver labeling munsell RColorBrewer viridisLite cli crayon fansi pillar pkgconfig permute assertthat colorspace utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";62;NA;NA;NA
"jrvFinance";"1.4.1";"GPL (>= 2)";"no";"";0;"R-jrvFinance";"jrvFinance_1.4.1.tar.gz";"1.4.1"
"js";"1.2";"MIT + file LICENSE";"no";"V8 Rcpp jsonlite curl";4;NA;NA;NA
"jSDM";"0.1.0";"GPL-3 | file LICENSE";"yes";"Rcpp coda corrplot RcppArmadillo RcppGSL";5;NA;NA;NA
"jskm";"0.3.9";"Apache License 2.0";"no";"ggplot2 gridExtra plyr survey scales digest glue gtable isoband rlang tibble withr Rcpp farver labeling lifecycle munsell R6 RColorBrewer viridisLite minqa numDeriv mitools testthat DBI colorspace cli crayon ellipsis fansi magrittr pillar pkgconfig vctrs assertthat utf8 evaluate pkgload praise desc pkgbuild rprojroot rstudioapi callr prettyunits backports processx ps";48;NA;NA;NA
"JSM";"1.0.0";"BSD_3_clause + file LICENSE";"yes";"statmod Rcpp RcppEigen";3;"R-JSM";"JSM_1.0.0.tar.gz";"1.0.0"
"JSmediation";"0.1.1";"MIT + file LICENSE";"no";"rlang dplyr magrittr purrr glue broom tibble data.table knitr backports generics reshape2 stringr tidyr ellipsis lifecycle R6 tidyselect vctrs evaluate highr markdown yaml xfun cli crayon fansi pillar pkgconfig assertthat mime utf8 plyr Rcpp stringi digest";36;NA;NA;NA
"jsmodule";"1.0.8";"Apache License 2.0";"no";"data.table shiny readxl DT jstable labelled epiDisplay GGally ggplot2 haven rstudioapi shinycustomloader MatchIt survey tableone jskm purrr geepack maxstat survC1 survIDINRI timeROC devEMF shinyWidgets pROC Hmisc see readr RColorBrewer Cairo htmltools htmlwidgets jsonlite magrittr crosstalk promises broom gtable plyr progress reshape scales rlang lifecycle digest glue isoband tibble withr forcats hms Rcpp tidyselect vctrs Formula latticeExtra acepack gridExtra htmlTable viridis base64enc lme4 coxme dplyr car Matching exactRankTests mvtnorm R6 clipr crayon BH cellranger bayestestR effectsize ggridges insight parameters httpuv mime xtable sourcetools later fastmap minqa numDeriv mitools e1071 zoo gmodels lmerTest pec backports generics reshape2 stringr tidyr carData abind pbkrtest quantreg maptools rio rematch bdsmatrix lazyeval ellipsis gdata pkgconfig knitr checkmate yaml testthat png jpeg nloptr statmod RcppEigen DBI prodlim foreach rms timereg prettyunits farver labeling munsell viridisLite cli fansi pillar assertthat iterators gtools evaluate highr markdown xfun sp colorspace utf8 lava SparseM MatrixModels curl openxlsx polspline multcomp stringi pkgload praise SQUAREM TH.data sandwich zip desc pkgbuild rprojroot callr processx ps";161;NA;NA;NA
"json64";"0.1.3";"MIT + file LICENSE";"no";"jsonlite";1;"R-json64";"json64_0.1.3.tar.gz";"0.1.3"
"jSonarR";"1.1.1";"AGPL-3";"no";"RCurl jsonlite bitops";3;NA;NA;NA
"jsonify";"1.2.1";"MIT + file LICENSE";"yes";"Rcpp rapidjsonr";2;NA;NA;NA
"jsonld";"2.2";"BSD_3_clause + file LICENSE";"no";"V8 jsonlite curl Rcpp";4;NA;NA;NA
"jsonlite";"1.6.1";"MIT + file LICENSE";"yes";"";0;"R-jsonlite";"jsonlite_1.6.1.tar.gz";"1.6.1"
